what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1337048424949
error,log,,,"Problems encountered during text search.",1337048424992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337048425064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337048425277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337048428439
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1337048433569
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1337048433614
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1337048433635
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1337048447895
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1337048459399
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1337048519787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1337048532272
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337048533946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337048628186
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1337048631305
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1337048631336
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1337048631336
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1337048632583
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1337048679986
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1337048680088
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1337048680117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337048716475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337048718568
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337048726148
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1337048726174
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337048729390
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1337048739361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337048751729
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337048766958
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337048767742
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1337048769496
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337048770912
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1337048777767
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1337048780567
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1337048789030
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337048789166
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337048789549
error,log,,,"Problems encountered during text search.",1337048790292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337048792396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337048834897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337049064707
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337049074704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337049159720
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337049164541
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337049168632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337049177504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337049184120
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1337049184850
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1337049192126
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337049195859
